"id","foodName","path","publicUrl"
"s3e5-jiaozhou-noodle","胶州摔面","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e5-jiaozhou-noodle.png","/food-images/s3e5-jiaozhou-noodle.png"
"s3e5-tianjin-doufunao","津味豆腐脑","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e5-tianjin-doufunao.png","/food-images/s3e5-tianjin-doufunao.png"
"s3e5-beef-noodle","红烧牛肉面","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e5-beef-noodle.png","/food-images/s3e5-beef-noodle.png"
"s3e5-luroufan","卤肉饭","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e5-luroufan.png","/food-images/s3e5-luroufan.png"
"s3e6-saqima","萨其马","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e6-saqima.png","/food-images/s3e6-saqima.png"
"s3e6-sushi-pastry","苏式糕点","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e6-sushi-pastry.png","/food-images/s3e6-sushi-pastry.png"
"s3e6-yuting-cake","渔亭糕","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e6-yuting-cake.png","/food-images/s3e6-yuting-cake.png"
"s3e6-longjing-pastry","龙井茶酥","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e6-longjing-pastry.png","/food-images/s3e6-longjing-pastry.png"
"s3e6-cantonese-dimsum","粤式点心四大天王","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e6-cantonese-dimsum.png","/food-images/s3e6-cantonese-dimsum.png"
"s3e7-qingmingguo","清明粿","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e7-qingmingguo.png","/food-images/s3e7-qingmingguo.png"
"s3e7-leaf-feast","西双版纳绿叶宴","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e7-leaf-feast.png","/food-images/s3e7-leaf-feast.png"
"s3e7-sour-fish","酸汤鱼","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e7-sour-fish.png","/food-images/s3e7-sour-fish.png"
"s3e7-fuping-persimmon","富平柿饼","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e7-fuping-persimmon.png","/food-images/s3e7-fuping-persimmon.png"
"s3e7-huangshan-ham","黄山咸肉","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e7-huangshan-ham.png","/food-images/s3e7-huangshan-ham.png"
"s3e7-bayu-dumpling","鲅鱼饺子","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e7-bayu-dumpling.png","/food-images/s3e7-bayu-dumpling.png"
"s3e8-lamb-rice-noodle","羊肉粉","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e8-lamb-rice-noodle.png","/food-images/s3e8-lamb-rice-noodle.png"
"s3e8-suan-cai","东北酸菜","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e8-suan-cai.png","/food-images/s3e8-suan-cai.png"
"s3e8-shanxi-hotpot","山西火锅","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e8-shanxi-hotpot.png","/food-images/s3e8-shanxi-hotpot.png"
